标题,地址,户型,关注,总价,均价,房源标签,房源链接
碧海明星大盘，南北通透，内庭院4房2卫,泰华阳光海小区  | 4室2厅 | 115.8平米 | 西南 | 精装,低楼层(共25层)2008年建板塔结合  -  碧海,45人关注 / 共22次带看 / 29天以前发布,790万,单价68222元/平米,距离11号线碧海湾站119米 | 房本满五年,https://sz.lianjia.com/ershoufang/105101135916.html
楼层好，前后双阳台格局，朝南 通风采光很好,御龙居  | 3室2厅 | 121.63平米 | 东南 | 精装,中楼层(共10层)2004年建板塔结合  -  西乡,82人关注 / 共108次带看 / 8个月以前发布,548万,单价45055元/平米,房本满五年 | 随时看房,https://sz.lianjia.com/ershoufang/105100760661.html
南北朝向3+1户型，满五年，可以自己赎楼，看房方便,万科第五园八期  | 3室2厅 | 89平米 | 南 | 精装,中楼层(共18层)2009年建板塔结合  -  坂田,45人关注 / 共27次带看 / 25天以前发布,482万,单价54158元/平米,房本满五年,https://sz.lianjia.com/ershoufang/105101142028.html
前海花园 端头位置 一梯两户 精装两房,前海花园  | 2室1厅 | 68.09平米 | 南 北 | 精装,中楼层(共5层)1998年建板塔结合  -  前海,197人关注 / 共80次带看 / 1个月以前发布,450万,单价66089元/平米,距离1号线(罗宝线）大新站364米 | 房本满五年 | 随时看房,https://sz.lianjia.com/ershoufang/105101084243.html
满五年业主自己赎楼相当于红本在手 全南格局,玉湖湾  | 3室2厅 | 75.45平米 | 东南 | 精装 | 有电梯,低楼层(共10层)2011年建板塔结合  -  碧海,43人关注 / 共55次带看 / 1个月以前发布,510万,单价67595元/平米,距离11号线碧海湾站1035米 | 房本满五年 | 随时看房,https://sz.lianjia.com/ershoufang/105101084092.html
东南向阔气大两房，住家安静，税费少,旭仕达名苑  | 3室2厅 | 84平米 | 东南 | 其他,中楼层(共17层)2002年建塔楼  -  新安,41人关注 / 共30次带看 / 20天以前发布,360万,单价42858元/平米,房本满五年,https://sz.lianjia.com/ershoufang/105101149332.html
龙珠花园 地铁口 满五唯一 两房高楼,龙珠花园  | 2室1厅 | 59.02平米 | 西 | 简装,高楼层(共30层)1999年建板塔结合  -  布吉站,39人关注 / 共16次带看 / 16天以前发布,208万,单价35243元/平米,距离3号线(龙岗线)布吉站698米 | 房本满五年,https://sz.lianjia.com/ershoufang/105101154712.html
双地铁物业，名校，满五唯一，送入户，配套完善,信义假日名城五期B山翠居  | 2室1厅 | 67.12平米 | 西南 | 精装,低楼层(共24层)2007年建塔楼  -  布吉关,77人关注 / 共88次带看 / 7个月以前发布,308万,单价45888元/平米,房本满五年,https://sz.lianjia.com/ershoufang/105100805614.html
信义三期 送天台花园两房，满五年近地铁+百外，春蕾,信义假日名城三期菁华园  | 2室1厅 | 64.24平米 | 东 | 精装,高楼层(共18层)2004年建板塔结合  -  布吉站,143人关注 / 共119次带看 / 5个月以前发布,300万,单价46700元/平米,距离5号线(环中线)百鸽笼站950米 | 房本满五年,https://sz.lianjia.com/ershoufang/105100919489.html
国展经典两房 满五税少  居家装修舒适,国展苑  | 2室1厅 | 56.16平米 | 东南 | 精装,中楼层(共32层)2003年建塔楼  -  布吉关,121人关注 / 共48次带看 / 2个月以前发布,218万,单价38818元/平米,距离3号线(龙岗线)布吉站1045米 | 房本满五年,https://sz.lianjia.com/ershoufang/105101083795.html
红本在手，满五年，业主诚心出售，户型方正实用。,益田村  | 3室1厅 | 92.57平米 | 北 | 精装,高楼层(共24层)2002年建板塔结合  -  石厦,52人关注 / 共34次带看 / 1个月以前发布,515万,单价55634元/平米,距离3号线(龙岗线)益田站252米 | 房本满五年,https://sz.lianjia.com/ershoufang/105101094921.html
